,PoI_GT_centerLatAngle,PoI_GT_visibleMinLatAngle,PoI_GT_visibleMaxLatAngle,PoI_GT_minLatAngle,PoI_GT_maxLatAngle,PoI_GT_adjustedMinLatAngle,PoI_GT_adjustedMaxLatAngle,PoI_GT_centerLatAngle_predicted
2203,0.5018895485,0.307982946,0.465293525,0.307982946,0.716319937,0.307982946,0.465293525,0.26583064
2696,-0.418492084,-0.374310882,-0.295620649,-0.545948045,-0.295620649,-0.374310882,-0.295620649,-0.29772887
4376,0.3379911585,0.2467786265,0.433467975,0.2467786265,0.433467975,0.2467786265,3.1420000000000003,0.2498729
3652,0.4583748845000001,0.2920816924999999,0.5677305309999999,0.2920816924999999,0.6291025975,0.0,0.5899769885,0.25041616
4312,0.223050314,0.16433715555,0.2064055819999999,0.16433715555,0.286578986,0.16433715555,0.2064055819999999,0.21757317
2059,0.2815130105,0.1408908567499999,0.1766995445,0.1408908567499999,0.435684774,0.0,0.1766995445,0.23356989
4289,-0.2147520579999999,-0.187549563,-0.1357134496,-0.2990941314999999,-0.1357134496,-0.187549563,-0.1357134496,0.16496837
4674,-0.661800164,-0.6878950685,-0.4509950385,-0.8764552335000001,-0.4509950385,-0.6878950685,-0.4509950385,-0.42454046
943,0.3349855759999999,0.1552762177999999,0.3944177395,0.1552762177999999,0.5489881470000001,0.1552762177999999,0.404539149,0.24526668
745,-0.335842651,-0.278161885,-0.239586702,-0.4369035715,-0.239586702,-0.278161885,-0.239586702,-0.20561442
1727,-0.4380720594999999,-0.5714773790000001,-0.25855435,-0.6406006870000001,-0.25855435,-0.60586918075,-0.25855435,-0.3603156
3939,-0.494065984,-0.642369566,-0.2967012885,-0.694069949,-0.2967012885,-0.6964181152500001,-0.2967012885,-0.37833005
1375,0.5762146175,0.372664839,0.5302497505,0.372664839,0.7731965169999999,0.372664839,0.5302497505,0.28571123
3833,0.530991733,0.387941352,0.4825035034999999,0.387941352,0.675182033,0.387941352,0.4825035034999999,0.3001765
3681,0.4926102585,0.359145882,0.4407432365,0.359145882,0.6285644775000001,0.359145882,0.4407432365,0.16030125
1820,-0.5729921360000001,-0.7973249859999999,-0.332802402,-0.8303950455000001,-0.332802402,-0.905387508,-0.332802402,-0.4264307
146,0.6309007655000001,0.3121760025,0.6709542125,0.3121760025,0.911126112,0.3121760025,0.6889982025,0.29586533
3483,0.5020551855,0.2336471905,0.703504648,0.2336471905,0.797484367,0.2336471905,0.8003458667500001,0.22680706
244,-0.3566288475,-0.254043908,-0.1443040245499999,-0.6120962835,-0.1443040245499999,-0.254043908,-0.1443040245499999,-0.20561442
933,-0.1887307965,-0.2952991695,-0.0963458833499999,-0.2952991695,-0.0963458833499999,-3.1420000000000003,-0.0963458833499999,-0.20561442
3487,-0.3449291544999999,-0.3773864105,-0.211420405,-0.4867664849999999,-0.211420405,-0.3773864105,-0.211420405,-0.20561442
158,0.2415402514999999,0.1184363376999999,0.203946528,0.1184363376999999,0.3861643074999999,0.1184363376999999,0.203946528,0.20443135
1351,0.338226933,0.2460556165,0.284354364,0.2460556165,0.4346416285,0.0,0.284354364,0.23042592
1496,0.392176295,0.2412615975,0.317550496,0.2412615975,0.5627071685,0.2412615975,0.317550496,0.21955392
1373,0.4304576379999999,0.2774585835,0.516913564,0.2774585835,0.5878861989999999,0.2774585835,0.53644009175,0.23540398
3252,-0.2270584345,-0.2057677335,-0.13707578625,-0.328385294,-0.13707578625,-0.2057677335,-0.13707578625,-0.20561442
2675,0.2811011229999999,0.14021340705,0.1881868239999999,0.14021340705,0.4351119349999999,0.0,0.1881868239999999,0.20604971
1346,-0.5444872525,-0.6761704095000001,-0.371099556,-0.7285937275000001,-0.371099556,-0.7062973107500001,-0.371099556,-0.40577543
415,0.602263397,0.2686228835,0.898388349,0.2686228835,0.946665544,0.2686228835,1.06225429225,0.33913952
507,0.6232251825,0.454429961,0.6277001545,0.454429961,0.7872815889999999,0.454429961,0.6277001545,0.27456528
4315,0.5150611875,0.3794776875,0.4663414005,0.3794776875,0.6522339665000001,0.3794776875,0.4663414005,0.3323498
2053,-0.412735062,-0.4848134355,-0.294173021,-0.5357244434999999,-0.294173021,-0.48871956275,-0.294173021,-0.20561442
1010,0.131951354,0.08704048365,0.178923164,0.08704048365,0.178923164,0.08704048365,3.1420000000000003,0.115186095
2677,-0.1451888952999999,-0.0923873925999999,-0.06454660515,-0.2325507659999999,-0.06454660515,-0.0923873925999999,-0.06454660515,-0.20561442
783,0.1956096369999999,0.09144041325,0.155282148,0.09144041325,0.3163690715,0.0,0.155282148,0.19668573
4562,-0.5732713730000001,-0.8842662044999999,-0.2197595175,-0.9487541825,-0.2197595175,-1.0550939277500002,-0.2197595175,-0.29189488
1510,0.5861151205,0.409967572,0.5464089955,0.409967572,0.773097682,0.409967572,0.5464089955,0.36111552
5018,0.3575684245,0.1752919875,0.2642089715,0.1752919875,0.5534488320000002,0.1752919875,0.2642089715,0.23717031
477,-0.529225198,-0.7259235269999998,-0.3315014735,-0.7259235269999998,-0.3315014735,-3.1420000000000003,-0.3315014735,-0.35224393
1578,0.5289259675,0.3685256175,0.481789686,0.3685256175,0.7015006594999998,0.3685256175,0.481789686,0.32365182
1279,-0.12738646415,-0.0757684582,-0.05525288675,-0.2085564359999999,-0.05525288675,-0.0757684582,-0.05525288675,-0.20561442
3453,-0.443585039,-0.32776123525,-0.1992261698,-0.6931466595,-0.1992261698,-0.32776123525,-0.1992261698,-0.30354026
3880,0.4818254855,0.2130312295,0.37389528,0.2130312295,0.7896208695,0.2130312295,0.37389528,0.27575523
4781,-0.2365706649999999,-0.2183995034999999,-0.1447594522499999,-0.340023555,-0.1447594522499999,-0.2183995034999999,-0.1447594522499999,-0.20561442
2491,-0.4060104825,-0.3464015979999999,-0.2778641094999999,-0.5478124440000001,-0.2778641094999999,-0.3464015979999999,-0.2778641094999999,-0.25194514
3801,0.397135977,0.279154384,0.5269217165000001,0.279154384,0.5269217165000001,0.279154384,3.1420000000000003,0.27970618
604,-0.992360594,-1.1101455795,-0.759601408,-1.1909717780000002,-0.759601408,-1.127391732,-0.7578707905,-0.5874589
1475,-0.3159933405,-0.433462936,-0.2100922395,-0.433462936,-0.2100922395,-3.1420000000000003,-0.2100922395,-0.3133593
