participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht
41,26.0,-0.40212151,0.01842535,-0.22242577,18.24333333333331,-5.323333333333323,20.285623897939196,29.88612173807432,0.5,31.333333333333332,1.447211595259013,2.4,8.4,2.0,0.0,2.4,0.0,0.0,4.0,0.0,3.4639751038481243,far,dense,0.0,0.0,110,2,4,2
41,28.0,-0.3334602066666667,-0.042365556666666665,-0.20843356666666665,565.7066666666666,258.425,-19.857967534325404,-16.209849732857936,-0.5,28.666666666666668,44.876516399524604,1.1,2.2,2.0,0.0,0.0,1.1,0.0,0.0,2.0,2.4392194641341227,far,dense,0.0,0.0,110,2,4,2
41,29.0,-0.29100781833333333,-0.04420297833333334,-0.21434317,272.02833333333336,-32.373333333333335,19.118396969386804,15.420470039887553,0.5,37.0,21.57952996011245,3.7999999999999994,4.3,2.0,2.4,0.5,0.9,1.0,1.0,2.0,3.347992372110866,far,dense,0.0,0.0,110,2,4,2
41,30.0,-0.25544860166666666,0.04138494166666667,-0.20121347999999997,427.6433333333334,24.509999999999994,29.513704260270615,11.075805373549251,0.5,45.0,33.92419462645075,5.900000000000001,3.9,2.0,4.2,0.0,1.7,5.0,0.0,2.0,5.040130029790001,far,dense,0.0,0.0,110,2,4,2
41,32.0,-0.3402184833333333,-0.023224176666666665,-0.21012986999999997,363.7033333333334,-70.36666666666666,19.011935049935506,3.148053285162341,0.5,32.0,28.851946714837663,2.6,3.7000000000000006,2.0,2.6,0.0,0.0,3.0,0.0,0.0,3.3541744929044377,far,dense,0.0,0.0,110,2,4,2
41,33.0,-0.37500450999999996,-0.06827388,-0.20763074,290.93,-66.83666666666666,15.159733567940192,-1.0789659825711102,0.5,22.0,23.07896598257111,7.2,4.3,2.0,2.7000000000000006,0.9,3.6,1.0,1.0,5.0,2.7012269816059167,far,dense,0.0,0.0,110,2,4,2
41,35.0,-0.33087147333333333,0.12886955,-0.19956975,351.1066666666666,45.23000000000002,33.697583769007196,17.14732473016213,0.5,45.0,27.852675269837874,1.8,4.9,2.0,0.0,1.8,0.0,0.0,3.0,0.0,5.7639749843234975,far,dense,0.0,0.0,110,2,4,2
41,36.0,-0.33721224333333333,0.12648238333333334,-0.17642845666666665,607.6133333333333,-98.93666666666667,31.471659980684446,-3.2008986716964167,0.5,45.0,48.200898671696415,3.0,5.3,2.0,1.2,1.8,0.0,2.0,2.0,0.0,6.904628843440592,far,dense,0.0,0.0,110,2,4,2
41,37.0,-0.40439842,0.006358093333333333,-0.18758887333333332,160.86666666666667,-6.76333333333334,19.1621267045201,16.905396506388918,0.5,29.666666666666668,12.761270160277746,4.6,3.1,2.0,0.9,1.0,2.7000000000000006,1.0,2.0,4.0,3.5630099415987666,far,dense,0.0,0.0,110,2,4,2
41,38.0,-0.42517035,0.00154392,-0.2023242633333333,388.8833333333334,-75.50999999999999,20.450862103848763,-0.8494318949192644,0.5,30.0,30.849431894919263,6.0,4.6,2.0,2.7000000000000006,1.3,2.0,3.0,3.0,2.0,4.087262253220011,far,dense,0.0,0.0,110,2,4,2
41,39.0,-0.4146581516666667,-0.010729195000000002,-0.193301355,386.84999999999997,-83.76166666666667,17.878266391242757,-3.6881311324292194,0.5,27.0,30.68813113242922,4.7,1.1,2.0,2.2,0.0,2.5,1.0,0.0,5.0,3.25800868747292,far,dense,0.0,0.0,110,2,4,2
41,40.0,-0.39125392666666664,0.06529912333333333,-0.19949677333333335,489.3066666666667,-110.38666666666666,26.3822440386717,6.184161430429097,0.5,45.0,38.8158385695709,3.7000000000000006,6.900000000000001,2.0,1.1,2.6,0.0,1.0,3.0,0.0,4.881328083838733,far,dense,0.0,0.0,110,2,4,2
41,41.0,-0.38369665000000003,-0.0021770699999999984,-0.19478743,410.56,-99.17999999999999,19.78834052884392,-1.2356704607215692,0.5,31.333333333333332,32.5690037940549,4.4,0.4000000000000001,2.0,2.9,0.0,1.5,3.0,0.0,3.0,4.961727419249837,far,dense,0.0,0.0,110,2,4,2
41,48.0,-0.34225675833333336,-0.016135001666666666,-0.217094855,301.6033333333333,-39.43000000000001,-6.59887419577759,-1.8582055392093622,-0.5,18.5,20.35820553920936,2.4,5.3,2.0,0.6999999999999998,1.7,0.0,1.0,1.0,0.0,1.646403916626624,far,dense,0.0,0.0,110,2,4,2
41,49.0,-0.40730994,0.008954536666666667,-0.18655563333333333,372.5233333333333,406.76,16.768068315023275,8.448378174426852,0.5,38.0,29.551621825573147,8.5,3.1,3.0,2.5,1.3,4.7,3.0,2.0,3.0,7.484294964998338,near,non_dense,0.0,0.0,110,2,4,2
41,50.0,-0.42239962,-0.026882756666666664,-0.20274966333333333,325.8233333333333,-71.35333333333331,17.04666077279334,-0.513659504558691,0.5,25.333333333333332,25.846992837892028,6.599999999999999,3.0,3.0,2.1,1.5,3.0,1.0,2.0,3.0,6.35683343921182,near,non_dense,0.0,0.0,110,2,4,2
41,54.0,-0.44201997000000004,-0.11340773,-0.20342846666666667,136.20333333333332,-37.76333333333334,10.017429363105707,-2.4714379061840517,0.5,8.333333333333334,10.804771239517386,9.5,1.8999999999999997,3.0,3.7000000000000006,0.9,4.9,3.0,1.0,3.0,5.2467702510248335,near,non_dense,0.0,0.0,110,2,4,2
41,56.0,-0.43510098,-0.05580822999999999,-0.21266018333333334,271.62,-64.00333333333334,14.8183667251404,0.45286240612530787,0.5,22.0,21.54713759387469,7.900000000000001,3.2000000000000006,3.0,5.599999999999999,0.0,2.3,2.0,0.0,3.0,5.438563055820766,near,non_dense,0.0,0.0,110,2,4,2
41,57.0,-0.41970813,-0.13952374333333334,-0.21135241333333332,302.2033333333333,-46.48,9.145243151751545,-16.97325971821262,0.5,7.0,23.97325971821262,6.900000000000001,5.2,3.0,0.8000000000000002,6.099999999999999,0.0,2.0,3.0,0.0,3.501313838900311,near,non_dense,0.0,0.0,110,2,4,2
41,58.0,-0.37257971166666665,-0.045928334999999994,-0.19084999833333335,415.62999999999994,-2.1749999999999936,25.54849427437986,-8.804531323695375,0.5,24.166666666666668,32.97119799036204,8.1,0.5,3.0,3.5,0.0,4.6,4.0,0.0,2.0,12.986452902259481,near,non_dense,0.0,0.0,110,2,4,2
41,59.0,-0.4301036566666667,-0.07579258666666666,-0.19797506333333334,395.50666666666666,99.21,12.135089137985373,-14.041515963336279,0.5,17.333333333333332,31.374849296669613,6.3,2.1,3.0,4.5,0.4000000000000001,1.3999999999999997,4.0,1.0,1.0,4.356008960134417,near,non_dense,0.0,0.0,110,2,4,2
41,60.0,-0.42172404333333335,-0.044680826666666666,-0.19291364,285.85333333333335,-163.92,15.461651368670445,4.657090402028348,0.5,27.333333333333332,22.676242931304984,10.4,2.7999999999999994,3.0,3.9,4.8,1.7,2.0,2.0,2.0,5.690891245334975,near,non_dense,0.0,0.0,110,2,4,2
41,61.0,-0.44152911666666667,-0.08027849,-0.20390779,175.72333333333336,72.46,12.284974297742977,0.3935098969603117,0.5,14.333333333333334,13.939823436373024,9.7,1.7,3.0,2.5,0.0,7.2,3.0,0.0,3.0,5.563134184798625,near,non_dense,0.0,0.0,110,2,4,2
41,62.0,-0.4172085933333333,-0.017994286666666665,-0.19012287333333333,357.67333333333335,-194.2166666666667,18.099495426253842,3.6264025955631367,0.5,32.0,28.37359740443686,6.400000000000001,2.9,3.0,2.3,1.2,2.9,3.0,1.0,3.0,6.757352994591954,near,non_dense,0.0,0.0,110,2,4,2
41,66.0,-0.3918332666666666,-0.05056822666666667,-0.19822459333333334,262.95666666666665,99.77666666666666,14.780178435951308,-1.1932239080086486,0.5,19.666666666666668,20.859890574675315,7.599999999999999,4.2,3.0,4.5,1.0,2.1,4.0,1.0,3.0,5.639250637179441,near,non_dense,0.0,0.0,110,2,4,2
41,67.0,-0.24565605999999998,-0.23420553666666666,-0.28603375000000003,-339.75666666666666,-104.74999999999999,-18.08299277669775,12.952299702168048,-0.5,-14.0,-26.952299702168048,2.4,0.4000000000000001,3.0,2.0,0.0,0.4000000000000001,2.0,0.0,1.0,5.5272285387700615,near,non_dense,0.0,0.0,110,2,4,2
41,69.0,-0.44543346,-0.059269800000000004,-0.20519471,233.7966666666667,-53.199999999999996,13.830379726818384,-1.546678984080419,0.5,17.0,18.54667898408042,7.3,2.3,3.0,2.7000000000000006,1.0,3.6,1.0,1.0,4.0,5.320242117490087,near,non_dense,0.0,0.0,110,2,4,2
41,70.0,-0.44123360666666667,-0.09002385,-0.19987738666666666,218.21000000000004,-118.58666666666666,12.244450260914485,-4.310216089976428,0.5,13.0,17.310216089976425,7.2,1.8999999999999997,3.0,4.1,0.4000000000000001,2.7000000000000006,1.0,1.0,5.0,4.49721666807242,near,non_dense,0.0,0.0,110,2,4,2
41,73.0,-0.44137444,-0.05886059,-0.20940974,458.49333333333334,592.1366666666667,14.181823148261428,-20.37147094914803,0.5,16.0,36.371470949148026,8.1,0.6999999999999998,4.0,8.1,0.0,0.0,8.0,0.0,0.0,4.405757139317242,far,non_dense,0.0,0.0,110,2,4,2
41,74.0,-0.44825405,-0.12778058666666667,-0.21004557333333332,0.0,0.0,7.976944864019193,8.333333333333334,0.5,8.333333333333334,0.0,5.5,1.3999999999999997,4.0,3.2000000000000006,0.0,2.3,1.0,0.0,3.0,2.7808640292133,far,non_dense,0.0,0.0,110,2,4,2
41,76.0,-0.43536029333333337,-0.2782627133333333,-0.20826065333333332,-215.42999999999998,-62.05333333333334,-7.248880789486396,5.089683572080205,-0.5,-12.0,-17.089683572080204,5.7,2.0,4.0,2.7000000000000006,0.0,3.0,2.0,0.0,2.0,2.2550271517146894,far,non_dense,0.0,0.0,110,2,4,2
41,78.0,-0.4263397583333333,-0.046846196666666666,-0.200293305,411.7966666666667,198.35833333333335,14.855973447469161,-9.833773055613056,0.5,22.833333333333332,32.66710638894639,8.0,1.2,4.0,3.7999999999999994,3.1,1.1,4.0,1.0,2.0,4.791829953200918,far,non_dense,0.0,0.0,110,2,4,2
41,79.0,-0.44910670999999996,-0.32571791666666666,-0.22098591666666667,-264.1166666666666,-54.64000000000001,-9.876057037974265,5.951911337538487,-0.5,-15.0,-20.951911337538487,5.8,1.7,4.0,2.6,1.8999999999999997,1.3,2.0,1.0,2.0,3.306058397382906,far,non_dense,0.0,0.0,110,2,4,2
41,82.0,-0.33643885333333334,-0.12256004333333333,-0.2058325666666667,146.54,-102.95333333333333,9.21359058258219,-2.6247608534216806,0.5,9.0,11.624760853421682,7.099999999999999,1.5,4.0,1.8999999999999997,2.5,2.7000000000000006,2.0,1.0,3.0,3.049793333152055,far,non_dense,0.0,0.0,110,2,4,2
41,84.0,-0.39969978666666667,0.009793016666666666,-0.19586769999999998,317.77,-11.359999999999994,21.690130072792414,12.791863952560341,0.5,38.0,25.208136047439655,4.5,3.5,4.0,3.2000000000000006,0.0,1.3,3.0,0.0,2.0,6.435030329419156,far,non_dense,0.0,0.0,110,2,4,2
41,85.0,-0.4238004,-0.12062551333333334,-0.20273980666666666,237.26666666666668,-78.02,8.317595771533076,-9.82194799023146,0.5,9.0,18.82194799023146,7.900000000000001,3.1,4.0,2.5,1.8999999999999997,3.5,2.0,2.0,3.0,2.989865752802308,far,non_dense,0.0,0.0,110,2,4,2
41,87.0,-0.37092462,-0.09769598666666668,-0.19551941666666664,305.91333333333336,-182.96,11.71125692454047,-11.934234169553742,0.5,12.333333333333334,24.267567502887076,6.2,2.5,4.0,0.6,1.8999999999999997,3.7000000000000006,1.0,4.0,5.0,4.2624101250450925,far,non_dense,0.0,0.0,110,2,4,2
41,89.0,-0.34289688833333337,-0.10839154666666667,-0.19805760333333333,153.64833333333334,-45.61833333333333,8.656632405268851,-3.8553191201047667,0.5,8.333333333333334,12.1886524534381,11.199999999999998,0.4000000000000001,4.0,7.7,0.0,3.5,1.0,0.0,3.0,4.21349780146907,far,non_dense,0.0,0.0,110,2,4,2
41,90.0,-0.2941163766666666,-0.12380953,-0.18636310999999997,170.29,-124.48,7.362895305670665,-3.8421399781346053,0.5,9.666666666666666,13.508806644801274,9.5,0.4000000000000001,4.0,7.2,0.0,2.3,4.0,0.0,2.0,2.832366847927178,far,non_dense,0.0,0.0,110,2,4,2
41,93.0,-0.2338003466666667,-0.19927006,-0.28638016666666666,-188.33,-107.06333333333335,-6.579810159636459,5.273221497144617,-0.5,-9.666666666666666,-14.939888163811284,10.699999999999998,0.4000000000000001,4.0,3.2999999999999994,0.0,7.400000000000001,3.0,0.0,5.0,2.3571848765135512,far,non_dense,0.0,0.0,110,2,4,2
