,Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g,Trigger,Condition,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_b,frequency_m,frequency_c
12139,66,57.0,-0.30517575,-0.11769067,-0.21663116,-117.45000000000005,-23.610000000000014,6.4383313969132665,2.333875134178791,,,13.140634381099977,4.763439148858913,38.0,-9.061469511728037,17.86,,0.5,47.06146951172804,-31.561668603086733,15.499800908641305,57,3,0.4,5.8,5.4,1.6,4.0,8.3,3.0,3.6,1.7,4.0,3.0,2.0
12140,66,57.0,-0.30486733,-0.11747318,-0.21680962,-72.22000000000003,-61.79000000000002,6.37208476922799,2.3450345433831474,,,13.005425013994326,4.786215503045003,38.0,-5.57189721700297,17.86,,0.5,43.57189721700297,-31.62791523077201,11.94398198623096,57,3,0.4,5.8,5.4,1.6,4.0,8.3,3.0,3.6,1.7,4.0,3.0,2.0
12141,66,57.0,-0.30508074,-0.14370236,-0.21682316,153.76,-56.60000000000002,9.477942103977377,3.3908922354262057,,,19.344479834217825,6.9208110525048845,25.0,11.862848464225648,11.75,,0.5,13.137151535774352,-15.522057896022623,-2.384906360248271,57,3,0.4,5.8,5.4,1.6,4.0,8.3,3.0,3.6,1.7,4.0,3.0,2.0
12142,66,57.0,-0.30410206,-0.14266457,-0.21677665,105.21000000000004,-10.420000000000016,9.543736507283924,3.4141349213252554,,,19.478766211366487,6.968249374424846,25.0,8.117132459164809,11.75,,0.5,16.882867540835193,-15.456263492716076,1.4266040481191151,57,3,0.4,5.8,5.4,1.6,4.0,8.3,3.0,3.6,1.7,4.0,3.0,2.0
12143,66,57.0,-0.30465212,-0.14235605,-0.21588178,161.53999999999996,-62.860000000000014,9.610442123650468,3.4376888571028137,,,19.6149123743706,7.016322957346842,25.0,12.463088845675149,11.75,,0.5,12.536911154324851,-15.389557876349532,-2.85264672202468,57,3,0.4,5.8,5.4,1.6,4.0,8.3,3.0,3.6,1.7,4.0,3.0,2.0
12144,66,59.0,-0.31689829,-0.14406928,-0.2169162,352.42,-138.42000000000002,6.531250456975666,2.285872396429282,352.42,-138.42000000000002,13.330282182687334,4.665465561112165,38.0,27.189809155582747,17.86,13.866802669347202,0.5,10.810190844417251,-31.46874954302433,-20.65855869860708,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12145,66,59.0,-0.31478506,-0.14433712,-0.21909767,363.38,-126.82,6.520427091747226,2.2965086396564023,363.38,-126.82,13.308191694256086,4.687174133538717,38.0,28.03539200657074,17.86,14.298049923351076,0.5,9.964607993429262,-31.479572908252774,-21.514964914823512,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12146,66,59.0,-0.31503102,-0.14341116,-0.21717633,390.98,-126.32999999999998,6.591915561458394,2.307243796128362,390.98,-126.32999999999998,13.45409966093658,4.709084587897987,38.0,30.164779478036845,17.86,15.384037533798791,0.5,7.835220521963155,-31.408084438541607,-23.57286391657845,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12147,66,59.0,-0.29216823,-0.11930025,-0.20398603,227.48,-98.37,9.803447885961804,3.5398763983320407,390.98,-126.32999999999998,20.008837135248044,7.224887728995695,-45.0,17.550473261199603,-21.15,15.384037533798791,0.5,-62.5504732611996,54.8034478859618,-7.747025375237799,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12148,66,59.0,-0.29273322,-0.11874317,-0.20332032,289.30999999999995,-144.64999999999998,9.915916716271388,3.5650297808961,289.30999999999995,-144.64999999999998,20.238386017909903,7.276225782808938,-45.0,22.32076410760355,-21.15,11.383589694877813,0.5,-67.32076410760355,54.91591671627139,-12.404847391332163,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12149,66,59.0,-0.29398873,-0.1185098,-0.20273115,289.48,-154.7,10.044453683005695,3.5905206035656536,289.48,-154.7,20.500729967014625,7.328252551877498,-45.0,22.333879900000262,-21.15,11.390278749000135,0.5,-67.33387990000026,55.0444536830057,-12.289426216994569,59,3,2.5,5.3,2.8,4.0,5.0,6.4,1.3,4.7,0.4,2.0,3.0,1.0
12150,66,61.0,-0.31604993,-0.14206761,-0.20226002,39.38999999999999,-14.699999999999989,2.880710551534066,2.9004852769057896,-361.53,-14.009999999999993,5.879530235681028,5.919890450164717,32.0,3.0390062500380344,15.04,-14.225257275549325,0.5,28.960993749961965,-29.11928944846593,-0.1582956985039683,61,3,,,,,4.2,10.2,0.0,0.0,10.2,0.0,0.0,7.0
12151,66,61.0,-0.31796083,-0.13870662,-0.20098704,40.34000000000003,-13.759999999999993,3.5155381485169173,2.9123796287908537,-361.53,-14.009999999999993,7.175213361123028,5.944166822362132,32.0,3.112300384019661,15.04,-14.225257275549325,0.5,28.88769961598034,-28.484461851483083,0.4032377644972564,61,3,,,,,4.2,10.2,0.0,0.0,10.2,0.0,0.0,7.0
12152,66,61.0,-0.3176153,-0.13682517,-0.20101327,-361.53,-14.009999999999993,3.972664545689275,2.9210518084769164,-361.53,-14.009999999999993,8.10820833775181,5.961866741101386,32.0,-27.89266132460652,15.04,-14.225257275549325,0.5,59.89266132460652,-28.027335454310723,31.8653258702958,61,3,,,,,4.2,10.2,0.0,0.0,10.2,0.0,0.0,7.0
12153,66,61.0,-0.29746625,-0.09639975,-0.20045313,426.25,-215.04,18.63989193973535,8.488281178830874,426.25,-215.04,38.04401944899985,17.324581885993815,41.0,32.88592064175457,19.27,16.771819527294834,0.5,8.114079358245426,-22.36010806026465,-14.246028702019224,61,3,,,,,4.2,10.2,0.0,0.0,10.2,0.0,0.0,7.0
12154,66,61.0,-0.29692402,-0.09613249,-0.20061377,48.07000000000005,-119.92000000000002,18.869468478193525,8.572648788434597,426.25,-215.04,38.51258516399298,17.496776177195013,45.0,3.708683179470132,21.15,16.771819527294834,0.5,41.29131682052987,-26.130531521806475,15.160785298723392,61,3,,,,,4.2,10.2,0.0,0.0,10.2,0.0,0.0,7.0
