Participant,Trigger,Condition,Building,Left_Right,accurate_pointing,accurate_gaze,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_point,frequency_b,frequency_m,frequency_c,pointed_or_not,accurate_fused
9,116,5,7,1,0,1,1.1,1.8,0.7,10.4,1,2.3,1.5,0,0.8,1,1,0,1,1,1
9,117,5,1,1,1,1,1,3,2,0.8,1.5,3.9,2.7,0,1.2,1,2,0,2,1,1
9,118,5,11,0,0,1,1.1,1.5,0.4,0.6,1.5,4.9,1.6,0,3.3,1,1,0,3,1,1
9,119,5,2,0,0,1,0.4,1.2,0.8,0.4,1,5.3,1.1,0,4.2,1,2,0,4,1,1
9,120,5,3,1,1,0,6.6,0.7,-5.9,4.9,1,5.3,0,0,5.3,1,0,0,1,1,0
10,1,1,2,1,0,0,0,,,,,,,,,1,,,,0,0
10,2,1,7,0,0,0,0.4,,,,,,,,,1,,,,0,0
10,3,1,1,1,0,0,11,,,,,,,,,1,,,,0,0
10,4,1,3,0,0,1,1.2,2.3,1.1,10.8,0.8,1.5,0.5,0.5,0.5,1,1,1,1,1,0
10,5,1,6,0,0,1,1.8,1.5,-0.3,6.6,1.2,2.6,0.4,0,2.2,1,1,0,3,1,1
10,6,1,5,0,0,1,0.2,1.7,1.5,0.7,0.8,6.6,2.3,0,4.3,1,2,0,4,1,1
10,7,1,2,0,0,0,0,,,,,,,,,1,,,,0,0
10,8,1,9,0,0,1,0.8,0.6,-0.2,3.8,1.1,2.2,0.5,0,1.7,1,1,0,3,1,1
10,9,1,4,0,1,1,0.4,0.5,0.1,1.6,1.2,2.8,0.4,1.1,1.3,1,1,1,2,1,1
10,10,1,7,0,0,1,0.3,0.4,0.1,9.6,1.2,1.1,0.5,0,0.6,1,1,0,1,1,1
10,11,1,11,0,0,0,3.6,0.5,-3.1,1.8,1.3,2.4,0,0,2.4,1,0,0,4,1,0
10,12,1,8,0,0,1,0.5,0.5,0,,1.5,1.1,1.1,0,0,1,1,0,0,1,1
10,13,1,6,0,0,0,0.3,,,,,,,,,1,,,,0,0
10,14,1,8,0,1,1,0,0.8,0.8,3.8,1.3,6.5,1.5,0.5,4.5,1,1,1,4,1,1
10,15,1,4,0,1,1,,1.4,,,1.2,,,,,1,,,,1,1
10,16,1,5,0,0,1,0.1,2,1.9,0.5,1.3,2.2,1.1,0,1.1,1,2,0,2,1,1
10,17,1,2,0,1,1,0,0.9,0.9,2.8,1.6,4.5,0.7,1.1,2.7,1,1,1,4,1,1
10,18,1,7,1,0,0,,0.9,,,1.5,,,,,1,,,,1,0
10,19,1,0,0,1,1,1.3,1.3,0,3.4,1.9,2.2,0.9,0,1.3,1,1,0,2,1,1
10,20,1,10,1,0,1,2.9,2.5,-0.4,0.8,1.7,3.1,0,0.6,2.5,1,0,1,3,1,1
10,21,1,3,1,0,1,1.3,1.6,0.3,0.7,1.3,1.5,0.4,0,1.1,1,1,0,2,1,0
10,22,1,5,0,0,1,0,0.7,0.7,1.5,2.2,3.4,0.4,0.9,2.1,1,1,1,3,1,1
10,23,1,8,1,0,0,3.6,1.1,-2.5,0.9,1.6,0.4,0,0,0.4,1,0,0,1,1,0
10,24,1,9,1,1,1,0,1.3,1.3,0.9,2,6.5,0.6,1.5,4.4,1,1,1,4,1,1
10,25,2,10,0,1,0,3.1,0.4,-2.7,0.9,1.8,2.3,0,0,2.3,1,0,0,4,1,0
10,26,2,11,0,1,1,0.7,0.1,-0.6,6.3,2,3.7,0,1.3,2.4,1,0,2,4,1,1
10,27,2,6,0,0,1,1.8,0.2,-1.6,3.7,2.2,1.8,0,0.5,1.3,1,0,1,2,1,1
10,28,2,3,1,0,0,10.9,0.4,-10.5,9.5,1,0.7,0,0,0.7,1,0,0,1,1,0
10,29,2,11,0,0,1,0.4,0,-0.4,3.1,2.2,5.6,0,1.1,4.5,1,0,2,5,1,1
10,30,2,4,0,0,1,1.1,0,-1.1,1,2,7.8,0,1.2,6.6,1,0,1,7,1,1
10,31,2,1,0,0,0,5,,,,,,,,,1,,,,0,0
10,32,2,9,0,1,1,0.7,0,-0.7,2.4,1.8,5.2,0,1,4.2,1,0,1,6,1,1
10,33,2,3,0,0,1,0.2,,,,,,,,,1,,,,0,1
10,34,2,11,0,1,0,2.3,0,-2.3,0.4,1.9,2.2,0,0,2.2,1,0,0,5,1,0
10,35,2,10,0,0,1,0,0.1,0.1,2.2,1.6,3.5,0.5,0.9,2.1,1,1,1,2,1,0
10,36,2,0,0,0,1,0.3,0.1,-0.2,1.1,1.8,4.6,0.5,0.4,3.7,1,1,1,5,1,1
10,37,2,10,0,1,1,2.6,0.6,-2,9.3,2.5,4.2,0,2,2.2,1,0,2,1,1,1
10,38,2,2,0,0,1,1.4,,,,,,,,,1,,,,0,1
10,39,2,3,0,0,1,3,0.6,-2.4,3.5,2.8,2.5,0,1,1.5,1,0,1,3,1,1
10,40,2,8,0,0,0,10,0.1,-9.9,7.3,2.6,1.1,0,0,1.1,1,0,0,2,1,0
10,41,2,0,0,0,1,3.9,0,-3.9,2.1,1.8,3.4,0,0,3.4,1,0,0,4,1,1
10,42,2,3,1,0,1,0.5,1,0.5,1.1,2,4.3,1.1,0.7,2.5,1,1,1,3,1,1
10,43,2,8,1,0,1,0.4,0.2,-0.2,2,3.1,3.4,0.4,1.1,1.9,1,1,2,3,1,1
10,44,2,6,1,0,0,6.5,0.8,-5.7,3.9,1.8,2,0,0,2,1,0,0,2,1,0
10,45,2,7,1,0,1,1.2,0.7,-0.5,1.2,2.5,4.2,0,1.2,3,1,0,2,5,1,1
10,46,2,0,1,0,1,1.4,1.3,-0.1,0.9,2.6,3.6,0.7,0.7,2.2,1,1,1,2,1,1
10,47,2,9,1,0,1,0.3,0.5,0.2,0.8,1.8,5.2,0.4,0.8,4,1,1,2,8,1,1
10,48,2,3,1,1,0,3.4,0.6,-2.8,1,1.8,3.8,0,0,3.8,1,0,0,6,1,0
10,49,3,0,0,1,1,0.5,0.7,0.2,1,1.5,6.1,0.9,0.4,4.8,1,1,1,6,1,1
10,50,3,9,0,0,1,0.7,0.4,-0.3,1.5,1.7,1.8,0,0.4,1.4,1,0,1,2,1,1
10,51,3,11,1,1,1,1.6,1.3,-0.3,,1.4,0.5,0,0.5,0,1,0,1,0,1,1
10,52,3,0,1,1,1,0,0.1,0.1,1,0.6,4.9,1.6,0,3.3,1,1,0,4,1,1
10,53,3,3,1,0,0,2,0.7,-1.3,2.4,1.1,2.7,0,0.7,2,1,0,1,3,1,0
10,54,3,1,0,1,1,1.3,0.9,-0.4,1.3,2.4,7.3,0,2.7,4.6,1,0,2,3,1,1
10,55,3,0,1,0,1,0.4,0.1,-0.3,2.7,2,7.5,1.2,1.2,5.1,1,1,1,7,1,1
10,56,3,3,0,1,1,0.5,0.4,-0.1,1.3,2.3,4.9,0.6,0.5,3.8,1,1,1,3,1,1
10,57,3,11,0,1,1,0.7,1.6,0.9,1.3,1.5,8.7,1.2,1.1,6.4,1,1,1,6,1,1
10,58,3,1,0,1,1,1.7,0.2,-1.5,5.7,2.1,12.1,0,6.2,5.9,1,0,1,1,1,1
10,59,3,7,0,1,1,0.9,0.6,-0.3,1.2,1.1,14.3,1.5,0,12.8,1,1,0,8,1,1
10,60,3,10,0,0,0,4.3,0.4,-3.9,1.4,2.5,2.1,0,0,2.1,1,0,0,2,1,0
10,61,3,0,0,1,1,5.8,1.3,-4.5,4,0.5,3.6,0,0,3.6,1,0,0,4,1,1
10,62,3,10,0,1,1,2.4,0.5,-1.9,8.1,1.9,2,0,0.7,1.3,1,0,1,1,1,1
10,63,3,6,1,1,1,1.5,1.4,-0.1,,2.2,0.5,0.5,0,0,1,1,0,0,1,1
10,64,3,7,1,0,1,0.1,1.4,1.3,3.1,2.4,5.2,1.1,1.6,2.5,1,2,2,4,1,1
10,65,3,0,1,1,1,0.3,0.6,0.3,2.1,2.2,9.5,4.2,0,5.3,1,1,0,2,1,1
10,66,3,2,0,1,1,0.7,0.7,0,1.3,2.3,7,1.1,1.5,4.4,1,1,1,6,1,1
10,67,3,3,1,0,1,0.6,1,0.4,1.6,1.7,3.1,0.5,0.6,2,1,1,1,2,1,1
10,68,3,4,1,0,1,0.6,0.8,0.2,0.5,2.4,2.5,1.1,0.4,1,1,1,1,2,1,1
10,69,3,3,0,0,1,0.8,0.2,-0.6,1.9,2.5,4.3,0,1,3.3,1,0,1,4,1,1
10,70,3,8,0,0,1,0.5,0.5,0,0.3,2.6,4.5,0.6,1.1,2.8,1,1,2,4,1,1
10,71,3,6,1,0,1,0.4,2.4,2,3.1,1.8,3.6,1.1,1,1.5,1,1,1,2,1,1
10,72,3,4,1,0,1,0.2,0.1,-0.1,1.1,1.8,3.8,1.2,0,2.6,1,1,0,4,1,1
10,73,4,9,0,0,1,1.6,,,,,,,,,1,,,,0,0
10,74,4,2,0,1,1,1.6,0.1,-1.5,1.3,1.7,6.2,0,0.8,5.4,1,0,2,8,1,1
10,75,4,6,1,0,0,0.4,,,,,,,,,1,,,,0,0
10,76,4,4,1,0,0,0.4,,,,,,,,,1,,,,0,0
10,77,4,9,1,0,0,0,,,,,,,,,1,,,,0,0
10,78,4,10,0,0,0,0,,,,,,,,,1,,,,0,0
10,79,4,8,1,0,0,0,,,,,,,,,1,,,,0,0
10,80,4,1,1,0,0,0.2,,,,,,,,,1,,,,0,0
10,81,4,5,1,1,1,3,1.9,-1.1,4.6,1.3,1.8,0,0.6,1.2,1,0,1,2,1,1
10,82,4,11,0,1,1,0.6,0.4,-0.2,2,3.3,6.7,1.5,2.5,2.7,1,1,1,4,1,1
