participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,r_l,regularity_updated
17,93.0,-0.31314676,-0.19726066,-0.2485430433333333,-173.13666666666666,28.44,-6.866271487782403,1.9351273850042967,-0.5,-10.333333333333334,-12.26846071833763,7.400000000000001,1.1,4.0,3.5,0.0,3.9,2.0,0.0,5.0,2.3513781741235262,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,95.0,-0.3130171666666667,-0.1185944366666666,-0.2545037366666666,249.35333333333327,-94.16666666666669,11.651214361563722,20.330827814328472,0.5,38.0,17.669172185671524,7.2,2.3,4.0,1.8,0.0,5.400000000000001,1.0,0.0,2.0,4.383630686327542,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
68,2.0,-0.3728145466666666,-0.1051268166666666,-0.2330986833333333,388.3133333333333,-78.39999999999999,12.333876483172048,-9.10954747743085,0.5,21.33333333333333,30.442880810764184,6.0,3.2000000000000006,1.0,0.4000000000000001,1.3,4.3,1.0,1.0,3.0,1.8075342914052988,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,3.0,-0.37158965,-0.3798393166666667,-0.2607745566666666,-299.18666666666667,-26.19333333333333,-17.683954515819806,0.4555531619735789,-0.5,-23.0,-23.45555316197358,2.3,2.6,1.0,1.9,0.4000000000000001,0.0,2.0,1.0,0.0,3.685288267278801,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,6.0,-0.36659498,-0.10517692,-0.2435806866666666,389.8633333333334,-57.32666666666668,12.20233496328575,-6.897730613417868,0.5,23.666666666666668,30.56439728008453,6.599999999999999,4.9,1.0,0.0,6.599999999999999,0.0,0.0,3.0,0.0,1.8272317434234724,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,20.0,-0.2800828733333333,-0.3521923433333333,-0.28903542,-344.99333333333334,-102.81666666666666,-16.210066542159275,6.046691487565636,-0.5,-21.0,-27.046691487565635,1.2,4.0,1.0,0.8000000000000002,0.4000000000000001,0.0,2.0,1.0,0.0,2.6164552565069403,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,21.0,-0.3529224933333333,-0.3748957316666666,-0.3585045616666666,-518.5133333333333,-143.9466666666667,-20.28566160934199,12.15026423367394,-0.5,-28.5,-40.65026423367394,0.6,0.5,1.0,0.6,0.0,0.0,1.0,0.0,0.0,3.237875066489803,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,23.0,-0.2855493344444444,-0.3442710744444445,-0.2765736566666666,-393.2088888888889,-145.99333333333334,-16.092827736982503,8.160014548273487,-0.5,-22.666666666666668,-30.82668121494016,0.8,0.4,1.0,0.8,0.0,0.0,2.0,0.0,0.0,2.5161729948152374,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,24.0,-0.3505549533333333,-0.1792122416666667,-0.232206595,189.3361111111111,-145.96333333333334,4.526596266463772,-8.176853163700114,0.5,6.666666666666667,14.84351983036678,5.6,0.4,1.0,2.4,0.0,3.2,3.0,0.0,4.0,1.3676173233539002,near,dense,0.0,0.0,118,2,1,1,1.0,1
68,76.0,-0.3236454833333333,-0.3098167266666666,-0.23563819,-146.16,-139.19333333333333,-6.997434106400445,-3.541388931701307,-0.5,-15.0,-11.458611068298694,6.2,3.9,4.0,4.7,0.8000000000000002,0.6999999999999998,2.0,1.0,1.0,2.2459552646917107,far,non_dense,0.0,0.0,118,2,1,1,1.0,1
68,90.0,-0.34200844,-0.19156363,-0.2256381233333333,225.42666666666665,-136.89,6.815273744038575,-2.3396038434342272,0.5,15.333333333333334,17.67293717676756,9.4,4.6,4.0,6.3,2.6,0.5,2.0,1.0,1.0,2.663612989497252,far,non_dense,0.0,0.0,118,2,1,1,1.0,1
68,93.0,-0.27694157,-0.30995213,-0.26720473,-126.97333333333331,-113.17666666666666,-6.235810563994547,-21.378913227202293,-0.5,-31.33333333333333,-9.95442010613104,7.599999999999999,0.8000000000000002,4.0,2.5,0.0,5.1,1.0,0.0,2.0,2.261417642065647,far,non_dense,0.0,0.0,118,2,1,1,1.0,1
31,2.0,-0.1912740133333333,0.0632878266666666,-0.45226377,0.0,0.0,9.372863687321663,2.6666666666666665,0.5,2.6666666666666665,0.0,4.7,0.5,1.0,1.3999999999999997,0.0,3.2999999999999994,1.0,0.0,5.0,1.373938864334728,near,dense,0.0,0.0,125,2,2,2,0.5,2
31,8.0,-0.3925479566666667,-0.0831626133333333,-0.2642340433333333,17.73333333333331,-93.47666666666667,14.108704458946724,22.70691028182468,0.5,24.0,1.2930897181753285,4.3,0.5,1.0,2.2,0.0,2.1,3.0,0.0,4.0,2.0678557002279567,near,dense,0.0,0.0,125,2,2,2,0.5,2
31,10.0,-0.37241905,-0.0615596633333333,-0.26947231,457.1366666666667,-137.99666666666667,18.515464234754106,-1.3337626015569508,0.5,32.0,33.33376260155695,2.3,0.6999999999999998,1.0,0.0,0.6,1.7,0.0,1.0,3.0,2.9959354281464363,near,dense,0.0,0.0,125,2,2,2,0.5,2
31,11.0,-0.36216425,-0.0378744133333333,-0.2559315866666666,516.0366666666667,439.23333333333335,23.31651119576789,0.0379989297416566,0.5,37.66666666666666,37.62866773692501,1.6000000000000003,0.4000000000000001,1.0,0.0,0.0,1.6000000000000003,0.0,0.0,2.0,3.816309705505271,near,dense,0.0,0.0,125,2,2,2,0.5,2
31,16.0,-0.40470329,-0.0537698066666666,-0.24783307,365.3333333333333,45.806666666666665,16.378813369067554,-3.9729260235619406,0.5,22.666666666666668,26.639592690228607,2.3,0.6,1.0,1.6000000000000003,0.0,0.6999999999999998,2.0,0.0,1.0,2.6983306024238423,near,dense,0.0,0.0,125,2,2,2,0.5,2
