participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
28,17.0,-0.4555612866666667,-0.05101148,-0.2279637199999999,359.37000000000006,41.71,12.63733477609919,-5.861375274750322,0.5,22.666666666666668,28.528041941416987,1.1,3.0,1.0,0.0,0.4000000000000001,0.6999999999999998,0.0,1.0,1.0,1.5578318004640606,near,dense,0.0,0.0,115,2,1,1,1,0.0390410410946547,12.698154151439669
63,60.0,-0.3119639033333333,-0.10063654,-0.2029975299999999,308.52,-177.85,12.316733414631493,6.556595095339215,0.5,29.666666666666668,23.11007157132745,3.2999999999999994,1.2,3.0,1.3999999999999997,0.0,1.9,2.0,0.0,2.0,4.53879767617984,near,non_dense,99.0,99.0,119,2,1,1,1,0.0441490375928226,12.517116963863373
15,12.0,-0.2135768633333333,-0.14484725,-0.2056447866666666,66.21666666666665,-171.48000000000002,15.728709931630553,26.419056032960054,0.5,32.0,5.58094396703995,2.2,0.6999999999999998,1.0,0.4000000000000001,1.8,0.0,1.0,1.0,0.0,2.3388150728396986,near,dense,0.0,0.0,123,1,1,2,1,0.0497749878668163,15.845124423503876
28,2.0,-0.46596581,-0.0986789133333333,-0.2077115433333333,305.9066666666667,-35.60666666666666,9.913832290389434,-10.61726971318066,0.5,13.666666666666666,24.28393637984733,4.7,1.9,1.0,0.0,2.3,2.4,0.0,1.0,5.0,1.5015492695438557,near,dense,0.0,0.0,115,2,1,1,1,0.0593752054573393,10.00298708677292
15,78.0,-0.1831539499999999,-0.2032593133333333,-0.2361348266666666,402.00666666666666,-120.59333333333332,12.568657527189512,-12.311264725023683,0.5,18.666666666666668,30.97793139169035,9.8,0.8000000000000002,4.0,6.5,1.8,1.5,6.0,1.0,1.0,4.4505296265489775,far,non_dense,0.0,0.0,123,1,1,2,1,0.0612770931952315,12.29594200849533
63,20.0,-0.22075693,-0.3532672433333333,-0.2557992033333333,-372.6366666666666,-121.57666666666668,-16.739822192268687,-10.753857005161557,-0.5,-38.66666666666666,-27.91280966150511,2.9,1.1,1.0,2.9,0.0,0.0,2.0,0.0,0.0,2.5432840205394647,near,dense,99.0,99.0,119,2,1,1,1,0.071223750910312,-16.920964419841766
63,39.0,-0.3728870533333333,-0.0518606333333333,-0.2137469033333333,468.9766666666667,-161.77666666666667,15.42836410002888,-3.129276325519399,0.5,32.0,35.1292763255194,2.9,2.0,2.0,0.0,0.9,2.0,0.0,1.0,2.0,2.6873216047862165,far,dense,99.0,99.0,119,2,1,1,1,0.0769705736509644,15.635208785533903
28,19.0,-0.4324955133333333,-0.0309504899999999,-0.1992119766666666,451.0033333333334,-117.45666666666666,15.962809957065064,-3.8022150125280327,0.5,32.0,35.80221501252803,2.9,2.4,1.0,0.0,1.9,1.0,0.0,2.0,1.0,3.2059502579528,near,dense,0.0,0.0,115,2,1,1,1,0.0771076986652088,15.71560651063919
15,67.0,-0.14988724,-0.2732171433333333,-0.2681786533333333,-201.73,-120.06333333333332,-16.83972092496424,-29.59310134350447,-0.5,-45.0,-15.406898656495535,1.5,0.6999999999999998,3.0,0.0,0.0,1.5,0.0,0.0,2.0,5.098019831645447,near,non_dense,0.0,0.0,123,1,1,2,1,0.0819795720670082,-16.421787440776825
63,31.0,-0.3165196366666666,-0.1067313433333333,-0.2195363666666666,348.33666666666664,-202.03666666666663,14.396322281712246,11.907411844988006,0.5,38.0,26.092588155011992,5.5,1.7,2.0,3.1,0.0,2.4,2.0,0.0,4.0,4.123812807677333,far,dense,99.0,99.0,119,2,1,1,1,0.0823381961496372,14.056774973869324
15,63.0,-0.1693623233333333,-0.29444169,-0.2672374566666666,-367.67333333333335,-94.93666666666668,-19.195252662934376,-16.667735291568725,-0.5,-45.0,-28.33226470843128,1.3,0.6999999999999998,3.0,0.9,0.0,0.4000000000000001,2.0,0.0,1.0,5.268667221727124,near,non_dense,0.0,0.0,123,1,1,2,1,0.0856982614354866,-18.743737041950222
29,52.0,-0.16268494,-0.2762680166666666,-0.3284333233333333,-254.70666666666668,-12.816666666666682,-12.14232483026945,1.1221489373445028,-0.5,-18.666666666666668,-19.78881560401117,1.9,1.2,3.0,0.0,1.1,0.8000000000000002,0.0,1.0,1.0,4.51171444661517,near,non_dense,2.0,0.75,122,2,1,2,1,0.0864516110282062,-11.752279847860336
15,2.0,-0.16770682,-0.1757149333333333,-0.2176709666666666,331.8833333333333,-75.28,10.12786190925646,-12.57434983676597,0.5,13.0,25.574349836765965,10.1,1.0,1.0,1.5,0.6999999999999998,7.900000000000001,1.0,1.0,7.0,1.5426372806368027,near,dense,0.0,0.0,123,1,1,2,1,0.0895768184759822,9.989677369594574
63,71.0,-0.28967054,-0.3369251399999999,-0.2628394566666667,-355.7933333333333,-186.86666666666667,-12.702224243543654,4.651138979432447,-0.5,-22.0,-26.65113897943245,4.5,1.5,3.0,1.2,0.5,2.7999999999999994,1.0,1.0,4.0,3.957112250318217,near,non_dense,99.0,99.0,119,2,1,1,1,0.0921185748626654,-13.066747784614565
29,96.0,-0.2426695233333333,-0.3347110733333333,-0.2637563533333333,-233.85666666666668,-40.53333333333333,-10.857204359979011,2.502258846742375,-0.5,-15.666666666666666,-18.16892551340904,4.8,1.6000000000000003,4.0,2.0,0.0,2.7999999999999994,1.0,0.0,3.0,4.997945606649715,far,non_dense,2.0,0.75,122,2,1,2,1,0.0925350440617157,-10.394719243049622
28,87.0,-0.45203042,-0.11075391,-0.20220726,312.9,-98.93,9.906178210175494,-13.17242486426072,0.5,11.666666666666666,24.83909153092738,3.5,1.2,4.0,0.6,0.0,2.9,1.0,0.0,5.0,3.730496453226861,far,non_dense,0.0,0.0,115,2,1,1,1,0.0926953218213777,9.56037864089012
28,66.0,-0.4670421366666666,-0.0841065366666666,-0.2128903166666666,155.39333333333337,-31.389999999999983,10.562061540519853,2.664336113893969,0.5,15.0,12.335663886106031,6.599999999999999,2.2,3.0,1.7,2.1,2.7999999999999994,3.0,2.0,5.0,3.920495287405209,near,non_dense,0.0,0.0,115,2,1,1,1,0.095722740071997,10.186780989170074
29,80.0,-0.2639563199999999,-0.3397689966666666,-0.2458036233333333,-191.48666666666668,-45.70666666666667,-12.600760786344615,-11.122908689891304,-0.5,-26.0,-14.877091310108696,7.5,1.9,4.0,1.9,1.2,4.4,1.0,1.0,7.0,6.040314767132226,far,non_dense,2.0,0.75,122,2,1,2,1,0.1000374776009866,-13.205018639564514
38,46.0,-0.3947018866666666,-0.2958123966666666,-0.2155816733333333,-217.57333333333327,55.079999999999984,-10.280522061413732,3.0127029285371805,-0.5,-15.0,-18.01270292853718,2.7000000000000006,2.0,2.0,2.3,0.0,0.4000000000000001,2.0,0.0,1.0,2.229740482236465,far,dense,2.0,2.0,115,2,1,2,1,0.1038565204521822,-10.048948973417282
73,10.0,-0.3113295633333333,-0.0294189133333333,-0.2077858633333333,635.4566666666666,-12.036666666666662,21.86045967912749,-4.268965280161157,0.5,45.0,49.268965280161154,2.5,2.3,1.0,0.0,0.5,2.0,0.0,1.0,4.0,3.54888920833556,near,dense,0.0,0.0,114,2,1,1,1,0.108591731343723,21.47507965564728
