participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
59,66.0,-0.2008126099999999,-0.1923170133333333,-0.19883282,-344.7966666666666,-77.43666666666665,26.480332519282104,10.96971830376718,0.5,-15.0,-25.96971830376718,2.9,1.7,3.0,2.9,0.0,0.0,4.0,0.0,0.0,9.666549234575006,near,non_dense,0.0,0.0,119,2,2,2,2,3.7968614837748547,-10.222215950489044
71,1.0,-0.42344928,-0.09423083,-0.197723965,193.67,-0.0249999999999914,-18.573051362647107,-0.9580110093171668,-0.5,13.0,13.958011009317168,3.4,2.8,1.0,3.4,0.0,0.0,7.0,0.0,0.0,2.662081589912489,near,dense,0.0,0.0,116,2,2,2,2,10.873978175317173,10.374365746974945
37,26.0,-0.4333932866666667,-0.0168417399999999,-0.24447732,280.15333333333336,121.19333333333334,13.887985353525696,-0.4001723600288874,0.5,20.33333333333333,20.733505693362225,3.0,0.4000000000000001,2.0,2.2,0.0,0.8000000000000002,1.0,0.0,1.0,2.35372653442769,far,dense,0.0,0.0,120,3,3,2,3,1.0915442548199012,11.318788677453995
30,57.0,-0.4070239166666667,-0.18277507,-0.22712738,156.07000000000002,-241.79,7.54822340237262,1.153201364363748,0.5,13.666666666666666,12.51346530230292,9.1,2.9,3.0,1.0,2.1,6.0,2.0,2.0,5.0,2.819911276354011,near,non_dense,0.0,0.0,120,1,4,1,6,0.9058021987819471,10.10250523686409
29,39.0,-0.2058008933333333,-0.1402129166666666,-0.3205123733333333,255.13,10.176666666666655,14.185996882126068,17.1782945412316,0.5,37.0,19.8217054587684,5.599999999999999,1.1,2.0,0.6,0.0,5.0,1.0,0.0,5.0,2.465769330395139,far,dense,2.0,0.75,122,2,1,2,1,0.24490146403930216,14.789867401123047
42,47.0,-0.3711253833333334,-0.2913240566666666,-0.2385993266666667,-110.16333333333334,-14.800000000000004,-12.384938095353045,-7.698848306769347,-0.5,-16.0,-8.301151693230652,4.8,1.2,2.0,1.6000000000000003,0.9,2.3,2.0,1.0,3.0,1.613364790149758,far,dense,0.0,0.0,118,2,3,2,3,0.9678949166281812,-10.823370516300201
40,65.0,-0.2049609166666667,-0.3123850133333333,-0.39610958,-234.3,-94.72666666666667,-10.476716090679735,-18.686267022030325,-0.5,-36.333333333333336,-17.647066311303007,8.3,1.3,3.0,2.2,0.8000000000000002,5.3,2.0,1.0,6.0,4.000942869524159,near,non_dense,1.5,0.5,120,2,2,2,2,1.4189291823583006,-16.153770685195923
38,57.0,-0.4310181333333333,-0.1347312333333333,-0.1983104033333333,117.12333333333332,45.15999999999999,9.174806234464038,-0.6965366895454546,0.5,9.0,9.696536689545454,7.099999999999999,4.4,3.0,1.9,3.2999999999999994,1.9,2.0,2.0,2.0,3.3151000157112858,near,non_dense,2.0,2.0,115,2,1,2,1,0.5468234108253842,7.362031936645508
11,96.0,-0.3097098966666666,-0.44071758,-0.31648298,-228.05,-112.97666666666667,-15.170779806202182,-15.644337449212989,-0.5,-32.666666666666664,-17.022329217453677,5.1,10.5,4.0,0.0,4.1,1.0,0.0,3.0,1.0,7.0253222282903005,far,non_dense,-1.0,-1.25,113,2,4,1,6,0.04722592665314855,-15.502557158470154
28,16.0,-0.43453571,-0.0076085766666666,-0.20270362,386.87000000000006,-1.7933333333333508,18.16360978845896,-1.711087697570721,0.5,29.0,30.71108769757072,0.9,1.9,1.0,0.0,0.0,0.9,0.0,0.0,2.0,3.110833295347575,near,dense,0.0,0.0,115,2,1,1,1,1.1928423305101261,14.452876150608063
28,69.0,-0.4360353633333333,-0.0596442633333333,-0.2009748733333333,319.7533333333334,-56.78333333333333,12.881142332679524,-2.7164663278549117,0.5,22.666666666666668,25.383132994521574,2.9,1.8,3.0,0.4000000000000001,0.9,1.6000000000000003,1.0,1.0,3.0,4.765645271524359,near,non_dense,0.0,0.0,115,2,1,1,1,0.12735274805126962,12.274224311113358
57,59.0,-0.4148025099999999,-0.15814746,-0.23169267,100.22666666666665,-45.00666666666666,7.496626517946744,-2.7986904026359354,0.5,5.333333333333333,8.132023735969268,7.400000000000001,1.2,3.0,1.3,0.6,5.5,1.0,1.0,6.0,2.661657530286526,near,non_dense,0.0,0.0,115,2,3,2,3,0.8620765502097568,5.202073976397514
42,22.0,-0.3190209466666666,-0.0431997666666666,-0.22947978,212.42,-68.79666666666667,14.361913080088868,15.993488674307343,0.5,32.0,16.006511325692657,0.4000000000000001,1.7,1.0,0.4000000000000001,0.0,0.0,1.0,0.0,0.0,2.328633694218442,near,dense,0.0,0.0,118,2,3,2,3,0.048825595962127606,14.248216152191162
63,3.0,-0.22793766,-0.3266646666666666,-0.23577176,-344.94,-105.34,-13.738659548012096,-13.828510022644588,-0.5,-39.66666666666666,-25.83815664402208,1.0,0.8000000000000002,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.6045865102778407,near,dense,99.0,99.0,119,2,1,1,1,1.3950122455349812,-17.372089624404907
56,56.0,-0.2080078199999999,-0.1610617966666666,-0.35197554,224.31333333333336,-149.78666666666666,11.151144746464112,-2.750154908413292,0.5,15.0,17.750154908413293,7.3,2.0,3.0,1.3,2.4,3.6,2.0,1.0,4.0,4.091873810198475,near,non_dense,0.0,0.0,122,2,3,2,3,0.2949494187565432,9.94424894452095
53,77.0,-0.345238205,-0.140271715,-0.23691685,264.43000000000006,-127.085,-14.891942180193247,-2.159266711360404,-0.5,18.0,20.1592667113604,7.3,6.1,4.0,7.3,0.0,0.0,2.0,0.0,0.0,4.68726675287369,far,non_dense,0.0,0.0,118,2,2,2,2,5.467861527213362,10.737383365631104
39,32.0,-0.2855947166666666,-0.137929365,-0.351195795,155.1016666666667,-45.44499999999999,15.07096954023931,0.9662240154805672,0.5,13.5,12.533775984519432,4.2,2.7000000000000006,2.0,0.0,2.1,2.1,0.0,2.0,2.0,2.6471316463704926,far,dense,0.0,0.0,114,2,5,1,6,1.8825067812097103,10.087726265192032
71,57.0,-0.4136551866666667,-0.11834106,-0.2046885233333333,160.42,18.08166666666666,10.782556759208711,0.4383532497823125,0.5,12.0,11.561646750217689,5.900000000000001,2.1,3.0,0.0,0.0,5.900000000000001,0.0,0.0,4.0,3.9725575751744486,near,non_dense,0.0,0.0,116,2,2,2,2,0.28614610569889876,9.645824879407883
56,80.0,-0.3041540266666666,-0.3549552866666667,-0.2724111166666667,-240.59666666666664,-22.086666666666662,-11.456768721740024,3.705339224909052,-0.5,-15.333333333333334,-19.038672558242386,4.2,2.0,4.0,0.0,1.7,2.5,0.0,1.0,4.0,5.220650899574306,far,non_dense,0.0,0.0,122,2,3,2,3,0.23571592434764774,-10.226178169250488
33,73.0,-0.390804,-0.15248803,-0.2289266233333333,172.99666666666667,-206.85333333333327,5.864551100433005,-6.940133296818381,0.5,6.666666666666667,13.606799963485049,12.9,0.6999999999999998,4.0,2.7000000000000006,0.0,10.2,1.0,0.0,3.0,2.086484359164457,far,non_dense,0.0,0.0,114,2,2,1,2,0.7885686325974762,7.509887218475342
46,40.0,-0.3511834333333333,-0.3439889633333333,-0.2850941433333333,-464.1233333333333,-116.14,49.49196466220348,17.577973829396772,0.5,-18.33333333333333,-35.911307162730104,2.1,0.6,2.0,2.1,0.0,0.0,2.0,0.0,0.0,7.635378222603872,far,dense,-1.0,-1.0,115,2,4,2,6,8.056157724901736,-12.019846588373184
15,83.0,-0.18844249,-0.1914277366666666,-0.2174491133333333,332.6833333333334,-90.29333333333334,10.402599535480112,-3.9693297724276775,0.5,21.666666666666668,25.635996439094345,8.5,0.8000000000000002,4.0,1.8,2.1,4.6,2.0,1.0,4.0,3.8293618176190174,far,non_dense,0.0,0.0,123,1,1,2,1,0.44536083354952144,12.108047306537628
